x	y	z
-0.03877011	-0.97243774	0.22992247
-0.21861844	-0.97492677	0.04150173
-0.80612624	0.06109658	0.5885834
-0.42954078	-0.89845395	-0.09094101
-0.41544026	-0.01297879	0.90952915
-0.92765605	-0.02006766	0.37289882
-0.97233605	-0.16758534	0.16271895
-0.20564207	-0.15697464	0.96595716
-0.9332783	-0.35901123	-0.00996697
0.08809251	-0.55264235	0.8287535
-0.0288102	-0.3464939	0.93761206
-0.626278	0.06358558	0.7770041
0.08267501	-0.89136505	0.44568938
-0.639459	-0.7545874	-0.14725283
0.12723505	-0.74397695	0.6559852
-0.8163756	-0.5651597	-0.11882561
